FISH_ID	POPULATION	REGION	average_annual_temperature	average_min_temperature	average_max_temperature	record_min_temperature	record_max_temperature	average_temperature_range	average_summer_temperature	average_summer_min_temperature	average_summer_max_temperature	average_summer_range	RESTING_RESPR_27	RESTING_RESPR_28.5	RESTING_RESPR_30	RESTING_RESPR_31.5	MAX_RESPR_27	MAX_RESPR_28.5	MAX_RESPR_30	MAX_RESPR_31.5	NAS_27	NAS_28.5	NAS_30	NAS_31.5	TEMPERATURE_REFERENCE_REEF	earliest_data	latest_data	days_obsrvd	depth
LCHA119_S23	Chauvel Reef	Leading	25.81523427	25.41072325	26.14610202	20.8027	30.7457	0.735378763	28.2605594	27.85490156	28.62324961	0.768348047	208.51	292.5	238.52	314.02	383.4975	475.746	469.1300491	555.6058	174.9875	183.246	230.6100491	241.5858	Tern Reef	1/01/2020	13/01/2022	744	9
LCHA135_S24	Chauvel Reef	Leading	25.81523427	25.41072325	26.14610202	20.8027	30.7457	0.735378763	28.2605594	27.85490156	28.62324961	0.768348047	170.56	236.12	183.4	222.51	383.5619	596.2006	542.1777957	452.0447	213.0019	360.0806	358.7777957	229.5347	Tern Reef	1/01/2020	13/01/2022	744	9
LCHA136_S25	Chauvel Reef	Leading	25.81523427	25.41072325	26.14610202	20.8027	30.7457	0.735378763	28.2605594	27.85490156	28.62324961	0.768348047	216.93	220.04	252.2	214.22	488.582	387.6096	471.0870406	517.6054	271.652	167.5696	218.8870406	303.3854	Tern Reef	1/01/2020	13/01/2022	744	9
LCHA138_S26	Chauvel Reef	Leading	25.81523427	25.41072325	26.14610202	20.8027	30.7457	0.735378763	28.2605594	27.85490156	28.62324961	0.768348047	190.96	187.14	230.59	253.42	529.5787	476.6076	600.9940196	583.7718	338.6187	289.4676	370.4040196	330.3518	Tern Reef	1/01/2020	13/01/2022	744	9
LCKM154_S27	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	216.98	215.19	220.24	255.69	789.3713	695.4122	654.5653768	575.1545	572.3913	480.2222	434.3253768	319.4645	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM158_S28	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	184.29	200.52	164.44	255.42	579.1294	467.0757	544.830325	436.8095	394.8394	266.5557	380.390325	181.3895	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM163_S29	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	162.57	145.93	176.23	219.49	534.5041	437.0505	611.2466056	589.5816	371.9341	291.1205	435.0166056	370.0916	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM165_S30	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	250.05	219.73	221.91	250.51	547.549	617.4952	509.479618	602.6747	297.499	397.7652	287.569618	352.1647	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM166_S31	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	206.37	195.5	282.38	237.95	419.385	552.7108	488.8397766	552.7044	213.015	357.2108	206.4597766	314.7544	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM174_S32	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	218.81	239.49	274.45	291.2	798.1793	524.1561	614.0209468	514.715	579.3693	284.6661	339.5709468	223.515	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM176_S33	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	297.36	230.9	242.25	314.14	643.4195	648.2086	554.1710832	697.4831	346.0595	417.3086	311.9210832	383.3431	Penrith Reef	1/01/2020	15/05/2023	1230	10
LCKM180_S34	Cockermouth Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	228.18	295.31	246.36	265.4	475.8816	681.0682	571.2870446	597.1093	247.7016	385.7582	324.9270446	331.7093	Penrith Reef	1/01/2020	15/05/2023	1230	10
LKES142_S35	Keswick Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	249.09	187.13	232.27	286.25	402.8289	583.9863	464.6639598	489.5677	153.7389	396.8563	232.3939598	203.3177	Penrith Reef	1/01/2020	15/05/2023	1230	10
LKES143_S36	Keswick Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	164.49	212.34	281.83	327.35	481.0595	552.6554	460.8076922	537.8631	316.5695	340.3154	178.9776922	210.5131	Penrith Reef	1/01/2020	15/05/2023	1230	10
LKES145_S37	Keswick Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	267.97	227.06	194.51	226.28	573.5177	599.5282	527.1519714	585.0435	305.5477	372.4682	332.6419714	358.7635	Penrith Reef	1/01/2020	15/05/2023	1230	10
LKES172_S38	Keswick Island	Leading	25.82333696	25.21005024	26.22278024	19.4164	30.4363	1.01273	28.18522802	27.53387439	28.60980353	1.075929139	235.93	242.36	293.41	306.41	651.6419	687.4752	700.6000117	770.5952	415.7119	445.1152	407.1900117	464.1852	Penrith Reef	1/01/2020	15/05/2023	1230	10
